location,code,wardId
A8E-01-01,072298E2BA92,171133
A8E-02-01,0722959EBA94,171133
A8E-02-02,072298E7BA97,171133
A8E-02-03,07229953BA99,171133
A8E-02-04,072296AEBA94,171133
A8E-03-01,072298A8BA9C,171133
A8E-03-02,07229954BA9E,171133
A8E-04-01,07229898BA9F,171133
A8E-04-02,0722989ABA9D,171133
A8E-04-03,0722996EBA97,171133
A8E-04-04,07229979BA91,171133
A8E-05-01,072298E5BA95,171133
A8E-05-02,072297B4BA9E,171133
A8E-05-03,072297CBBA96,171133
A8E-05-04,072297CFBA92,171133
A8E-06-01,072297C9BA94,171133
A8E-06-02,072297CABA97,171133
A8E-06-03,072297BCBA96,171133
A8E-06-04,07229972BA9A,171133
A8E-07-01,072297EABA95,171133
A8E-07-02,0722967BBA9C,171133
A8E-08-01,07229843BA99,171133
A8E-08-02,0722966FBA99,171133
A8E-09-01,07229626BA94,171133
A8E-09-02,07229726BA95,171133
A8E-10-01,072297D4BA98,171133
A8E-10-02,072296CFBA93,171133
A8E-10-03,07229679BA9E,171133
A8E-10-04,0722986BBA93,171133
A8E-11-01,0722984EBA94,171133
A8E-11-02,072297D7BA9B,171133
A8E-11-03,07229857BA9C,171133
A8E-11-04,0722968ABA92,171133
A8E-12-01,0722976FBA98,171133
A8E-12-02,07229853BA98,171133
A8E-12-03,0722978BBA92,171133
A8E-12-04,07229848BA92,171133
A8E-13-01,0722978DBA94,171133
A8E-13-02,07229631BA92,171133
A8E-99-99,07229619BA98,171133
A8S-51-01,070C1C14BA9B,201272
A8S-52-01,070C1C07BA99,201272
A8S-53-01,070C1C18BA97,201272
A8S-54-01,070C1C19BA96,201272
A8S-55-01,070C1C1DBA92,201272
A8S-56-01,070C1C16BA99,201272
A8S-57-01,070C1BFABA9C,201272
A8S-58-01,070C1BFBBA9D,201272
A8S-59-01,070E0F74BA9D,201272
18E-01-01,070C1BF9BA9F,171112
18E-02-01,070C1BF8BA9E,171112
18E-04-01,070C1BF7BA91,171112
18E-04-02,070E11D3BA9F,171112
18E-04-03,070C1C2EBA92,171112
18E-04-04,070E11E2BA9D,171112
18E-04-05,070C1C2ABA96,171112
18E-04-06,070C1C2CBA90,171112
18E-05-01,070E11CDBA90,171112
18E-05-02,070C1BFEBA98,171112
18E-05-03,070C1C2DBA91,171112
18E-05-04,070E1225BA95,171112
18E-05-05,070E1217BA94,171112
18E-05-06,070C1BC7BA92,171112
18E-06-01,070C1C41BA9B,171112
18E-06-02,070E120EBA9C,171112
18E-06-03,070E1221BA91,171112
18E-06-04,070E0F98BA9F,171112
18E-06-05,070E121CBA9F,171112
18E-06-06,070E1212BA91,171112
18E-07-01,070E1213BA90,171112
18E-07-02,070C1B63BA9C,171112
18E-07-03,070C1BD1BA95,171112
18E-07-04,070E122BBA9B,171112
18E-07-05,070C1BBCBA9E,171112
18E-08-01,070E0F91BA96,171112
18E-08-02,070C1B62BA9D,171112
18E-09-01,070E1220BA90,171112
18E-09-02,070C1BCDBA98,171112
18E-10-01,070E1219BA9A,171112
18E-10-02,070C1C42BA98,171112
18E-11-01,07229969BA90,171112
18E-11-02,07229900BA9F,171112
18E-12-01,07229909BA96,171112
18E-12-02,07229901BA9E,171112
18E-13-01,0722957CBA98,171112
18E-13-02,07229592BA98,171112
18E-14-01,0722988BBA9D,171112
18E-14-02,0722959CBA96,171112
18E-14-01,072298FEBA9F,171112
18W-51-01,072298FFBA9E,171113
18W-52-01,07229596BA9C,171113
18W-53-01,0722956ABA9F,171113
18W-53-02,07229593BA99,171113
18W-53-03,0722958FBA94,171113
18W-53-04,07229587BA9C,171113
18W-53-05,072297BEBA94,171113
18W-54-01,072298F2BA93,171113
18W-54-02,07229569BA9C,171113
18W-54-03,0722990CBA93,171113
18W-54-04,07229903BA9C,171113
18W-54-05,072295A1BA98,171113
18W-54-06,0722993FBA93,171113
18W-55-01,0722957ABA9E,171113
18W-55-02,07229943BA98,171113
18W-55-03,07229948BA93,171113
18W-55-04,0722993EBA92,171113
18W-55-05,072295ACBA95,171113
18W-55-06,072295BEBA96,171113
18W-56-01,072295AFBA96,171113
18W-56-02,072295BDBA95,171113
18W-56-03,07229573BA97,171113
18W-56-04,072295CEBA91,171113
18W-56-05,072295CABA95,171113
18W-56-06,0722985ABA91,171113
18W-57-01,07229576BA92,171113
18W-57-02,072295A7BA9E,171113
18W-57-03,0722956EBA9B,171113
18W-57-04,07229949BA92,171113
18W-57-05,072295D4BA9A,171113
18W-58-01,072295A4BA9D,171113
18W-58-02,070E0FA6BA92,171113
18W-59-01,070E0FA8BA9C,171113
18W-59-02,070E0F9EBA99,171113
18W-60-01,070E0F54BA9F,171113
18W-60-02,070C1C3BBA96,171113
18W-61-01,070E0F7FBA96,171113
18W-61-02,070C1C3CBA91,171113
18W-62-01,070E11F8BA96,171113
18W-62-02,070E0F8CBA9A,171113
18W-63-01,070E11FCBA92,171113
18W-63-02,070E11F1BA9F,171113
18W-64-01,070E11FDBA93,171113
18W-64-02,070E11F0BA9E,171113
18W-99-99,070E11F4BA9A,171113
